name,overview,first_air_date,rating,vote_count,review
SHAMAN KING,"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King.",2021-04-01,8.2,296,"If I'm honest, I feel that this reboot is a slap to the face of younger fans who watches the original. 
And I should know - I watches the original when I was younger.

This reboot however, if I'm honest, felt rushed - it was like each episode was two episodes crammed together. It was mind numbing"
The King's Affection,"When the crown prince is killed, his twin sister assumes the throne while trying to keep her identity and affection for her first love a royal secret.",2021-10-11,8.2,280,"Well, let me tell you, that this drama was a life-changing experience because after enduring its mind-numbingly brilliant writing that clearly must have been penned by a troupe of hyper-intelligent amoebas, I now have an entirely new appreciation for the fine art of cringing. It's not every day you "
The Crown,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",2016-11-04,8.2,2223,"Good TV show. I like it. It's clean - no unnecessary sex scenes, no profanity, no left wing propaganda and agenda."
Mayday,"Major real-life air disasters are depicted in this series. Each episode features a detailed dramatized reconstruction of the incident based on cockpit voice recorders and air traffic control transcripts, as well as eyewitnesses recounts and interviews with aviation experts.",2003-09-03,8.2,266,No reviews
Toradora!,"Ryūji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger."" One day, an embarrassing mistake causes the two students to cross paths. Ryūji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yūsaku Kitamura, who happens to be his best friend. But things only get crazier when Ryūji reveals that he has a crush on Minori Kushieda—Taiga's best friend! Toradora! is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process.",2008-10-02,8.2,614,This is the best thing ever actually
The Avengers: Earth's Mightiest Heroes,"When the powers of a single hero are not enough to save the world, the world’s greatest heroes—Iron Man, Thor, Captain America, The Hulk, Ant-Man/Giant Man and Wasp—assemble to form the Avengers.",2010-10-20,8.2,741,No reviews
1923,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",2022-12-18,8.202,637,"I'm sorry for the loss of what could have been an excellent show. But some things bother me. But first positive things. Most of the main actors are very good, the landscapes are beautiful, and the period is also something that I personally just like to see.

The first problem that I have is with b"
Drawn Together,"The world's first animated reality series gathers icons from all corners of the cartoon universe and lets them loose, with plenty of cameras to catch their exploits. Here's what happens when eight cartoon characters stop being polite and start getting real.",2004-10-27,8.2,1305,No reviews
Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,2001-10-16,8.2,4243,This was the favorite show of my elementary school crush. I was literally jealous of Superman.
Control Z,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",2020-05-22,8.2,2331,No reviews
Teasing Master Takagi-san,"""If you blush, you lose."" Living by this principle, the middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to turn the tables and get back at her some day. And so, he attempts to tease her day after day, only to find himself victim to Takagi-san's ridicule again sooner than later. Will he be able to make Takagi-san blush from embarrassment even once in the end?",2018-01-08,8.2,375,"""Teasing Master Takagi-san"" is a delightful slice of life and romance anime that truly stands out for its wholesome content and charming characters. Based on real-life inspiration, the anime brings the world of Takagi and Nishikata to life in a relatable and engaging way.

One of the highlights of"
Mare of Easttown,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,2021-04-18,8.195,1494,"This police detective drama series drew me in and kept me coming back for more, in spite of itself. I say that because this series borrows heavily from one police drama cliche after another. Police detective characters are often obsessed with their cases and take their work home with them: Check. Th"
El marginal,An ex-cop entered a prison as convicted under a false identity in order to infiltrate within a group of prisoners that has just kidnapped the teenage daughter of an important national judge.,2016-06-02,8.2,410,No reviews
Chilling Adventures of Sabrina,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",2018-10-26,8.2,3636,No reviews
Outlander,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",2014-08-09,8.2,2709,"**TL;DR: If you're interested in watching this show because you heard there was time travel, don't.** That is about 1% about what this show is about, at least in the first season (that's as far as I've gotten). And even the time travel aspect is mystical, there is _no_ sci-fi element here.  _LOST_ i"
Pucca,"""Pucca"" is a TV series based on a Flash animation series published by Vooz Character Systems. It follows the trails and exploits of a South Korean girl named Pucca who is insanely in love with a prideful ninja named Garu. Meanwhile, Garu and Pucca help their town of Sooga Village out when evil ninjas attack, as well as diffuse a lot of the absurd situations that frequently plague the town. This show could best be described as a cleaned-up version of South Park meets Looney Tunes meets Naruto. There is some very subtly hidden adult humor; but most of the adult jokes would not go noticed by small children, who are the primary audience.",2006-09-18,8.2,588,No reviews
Chespirito,,1970-10-15,8.2,393,No reviews
The Bureau,"Within the DGSE (General Directorate for External Security), a department called the Office Of Legends (BDL) forms and remote pilot the most important agents of the French intelligence services: Clandestine. Immersion in hostile country, their mission is to identify individuals who may be recruited as sources of information. Operating ""under caption"", that is to say in a fabricated identity from scratch, they live for many years in a permanent duplicity. Our hero just returned from a clandestine mission six years in Damascus. But contrary to what is required by safety rules, he does not abandon his legend and the identity under which he lived in Syria, thus putting in danger the whole system.",2015-04-27,8.2,200,No reviews
Justice League,"The long-awaited rebirth of the greatest superhero team of all time: Batman, Superman, Wonder Woman, The Flash, Hawkgirl, Green Lantern, and Martian Manhunter.",2001-11-17,8.2,538,No reviews
Star Wars: The Bad Batch,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,2021-05-04,8.184,1080,"S2 – Best animation quality from Lucasfilm yet! Absolutely beautiful animation.
What I thought was lacking in S1 was a purposed direction for the group, which is still there a bit in S2, but the characters address it and are seeking to discover it.
Great season overall. I can't wait for S3!"
Dragon Ball Super,"With Majin Buu defeated half-a-year prior, peace returns to Earth, where Son Goku (now a radish farmer) and his friends now live peaceful lives. However, a new threat appears in the form of Beerus, the God of Destruction. Considered the most terrifying being in the entire universe, Beerus is eager to fight the legendary warrior seen in a prophecy foretold decades ago known as the Super Saiyan God. The series retells the events from the two Dragon Ball Z films, Battle of Gods and Resurrection 'F' before proceeding to an original story about the exploration of alternate universes.",2015-07-05,8.186,5108,"If you enjoy my Spoiler-Free reviews, please follow my blog :)

Dragon Ball Super is the official (or canon, whatever you prefer) follow-up to Dragon Ball Z (yes, Dragon Ball GT does not ""exist"") and it continues right after the Majin Buu arc. Goku goes on action-packed adventures, finding new wor"
Courage the Cowardly Dog,"The bizarre misadventures of a cowardly dog named Courage and his elderly owners in a farmhouse in Nowhere, Kansas.",1999-11-12,8.2,1566,No reviews
Money Heist: From Tokyo to Berlin,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional and artistic process of filming Money Heist.",2021-09-03,8.2,208,No reviews
FROM,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.",2022-02-20,8.2,2103,"As a fan of “Lost,” I was intrigued when I heard that some of the same people were involved in the new EPIX series “From.” Unfortunately, the show doesn’t live up to the expectations set by “Lost.” While it starts off incredibly promising and has a unique feel, the lazy writing and subpar acting hol"
Gossip Girl,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,2007-09-19,8.2,2208,No reviews
Beyond the Boundary,"The dark fantasy follows a high school sophomore named Akihito Kanbara. Although the boy appears human, he is half Youmu and invulnerable to wounds because he can heal quickly. One day, Akihito meets freshman Mirai Kuriyama when it seems she is about to jump from the school rooftop. Mirai is isolated because of her ability to manipulate blood, which is considered heresy among members of the spirit world. Disturbing events begin to unfold after Akihito saves Mirai.",2013-10-02,8.2,313,No reviews
Wu-Tang: An American Saga,"In the early 1990s in New York, during the height of the crack cocaine epidemic, a visionary musician named Bobby Diggs aka The RZA begins to form a super group of a dozen young, black men, who will eventually rise to become one of the unlikeliest success stories in American music history.",2019-09-04,8.2,269,No reviews
Domestic Girlfriend,"Natsuo is a high school boy who is experiencing the crushing despair of unrequited love. To make matters worse, the person he is in love with is his teacher, Hina. In an attempt to lift his spirits, he attends a mixer where he meets a girl named Rui. The two sleep together, expecting never to see one another again, but fate has other plans. His life suddenly becomes more complicated when his father comes home and announces he has remarried a woman with two daughters whom Natsuo has met before: Hina and Rui!",2019-01-12,8.2,443,No reviews
Chowder,"An aspiring young chef named Chowder has adventures as an apprentice in Mung Daal's catering company. Although he means well, Chowder often finds himself in predicaments due to his perpetual appetite and his nature as a scatterbrain. He is also pestered by Panini, the apprentice of Mung's rival Endive, who wants Chowder to be her boyfriend, which he abhors.",2007-11-02,8.2,420,No reviews
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"The world's number one assassin has been reincarnated as the eldest son of a family of aristocrat assassins. In exchange for being reincarnated in another world, a goddess has imposed upon him one condition. ""Kill the Hero who is prophesied to destroy the world."" This was to be the mission in his new life. The synergistic effect of the vast knowledge and experience he gained that made all manner of assassinations possible in the modern world, and the secret techniques and magic of the fantasy world's most powerful family of assassins turn him into the greatest assassin of all time.",2021-10-06,8.2,262,"Ah... here we go again.

From the creator of Redo of Healer, we have an interesting plotline with a somewhat unique main character and the same trappings and mistakes most shows of this genre offer.

The main character is the best assassin the world has to offer. He dies age 60 and gets reincarn"
Captain Tsubasa,"The passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.",2018-04-03,8.2,703,No reviews
Sword Art Online,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",2012-07-08,8.2,1979,"First of all, this series was massive, both in terms of length and story. Maybe I feel this because I watched the whole series too fast (May 6th, 2021 ~ May 31st, 2021). Although, I still feel it was too fast and short. This series has become one of my favorite anime!

I watched the whole series o"
X-Men,"The X-Men are an elite team of mutants, genetically gifted human beings with superpowers, sworn to fight for mutant rights against hostile Government agencies, whilst at the same time protecting mankind from mutant supremacist Magneto who seeks to destroy the human race in return for the atrocities committed against mutant kind.",1992-10-31,8.2,1264,No reviews
Codename: Kids Next Door,"Taking numbers instead of names, five extraordinary 10-year-olds form a covert team called the Kids Next Door with one dedicated mission: to free all children from the tyrannical rule of adults.",2002-12-06,8.2,748,No reviews
Charmed,"Three sisters (Prue, Piper and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern day San Francisco. ",1998-10-07,8.2,2415,No reviews
The Day of the Jackal,"An unrivalled and highly elusive lone assassin, the Jackal, makes his living carrying out hits for the highest fee. But following his latest kill, he meets his match in a tenacious British intelligence officer who starts to track down the Jackal in a thrilling cat-and-mouse chase across Europe, leaving destruction in its wake.",2024-11-07,8.2,751,"I'm not sure there was really a need for another remake of The Day of the Jackal? Based on the Frederick Forsyth novel from 1971, there have been two films, I'm aware of and both are pretty decent.

The series isn't awful either. Eddie Redmayne is excellent as the Jackal. That said, I can't say I "
King the Land,"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile — which he cannot stand.",2023-06-17,8.2,544,No reviews
Loki,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",2021-06-09,8.174,12000,"loki starts strong and keeps you in the fog till the next episode, and it's really recommended because it's going to hit hard and will definitely  surprise you how good a series could be."
Alexa & Katie,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.,2018-03-23,8.2,207,"A good, heartwarming, decent comedy show to watch in the summer.
Plus, the theme tune of the beginning intro is very catchy!"
Golden Boy,"Kintaro Oe is a 25-year-old boy who left Tokyo University and now lives a simple life, traveling by bicycle to learn everything he can about the world.",1995-10-27,8.173,478,"Whenever I hear people talk about this OVA/movie, I always here about how I just don't understand it and that the main character, Kintaro Oe, is an inspirational character and see themselves in him.

So what these people are saying is that they look up to a pervert who nearly destroys a companies "
Wizards: Tales of Arcadia,"Merlin’s apprentice joins Arcadia’s heroes on a time-bending adventure in Camelot, where conflict is brewing between the human, troll and magical worlds.",2020-08-07,8.2,384,"I was excited to see this. Sadly though it was only a limited series (as in one series) and it only had 10 episodes, and the whole 7 episodes were wasted with the characters stuck in the past.
Plus, this character Douxie; we didn't know much about him other than his frequent appearances in Trollhun"
Steven Universe Future,"After saving the universe, Steven is still at it, tying up every loose end. As he runs out of other people's problems to solve, he'll finally have to face his own.",2019-12-07,8.2,740,No reviews
Pandillas guerra y paz,,1999-09-05,8.2,224,No reviews
The Vietnam War,"An immersive 360-degree narrative telling the epic story of the Vietnam War as it has never before been told on film. Featuring testimony from nearly 80 witnesses, including many Americans who fought in the war and others who opposed it, as well as Vietnamese combatants and civilians from both the winning and losing sides.",2017-09-17,8.2,200,"**_One of the finest documentaries ever made_**

> _We rationalised destroying villages in order to save them. We saw America lose her sense of morality as she accepted very coolly a Mỹ Lai, and refused to give up the image of American soldiers who hand out chocolate bars and chewing gum. We learn"
Jackie Chan Adventures,"Jackie Chan teams up in this animé-style adventure with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert. Though officially Jackie works as an archaeologist, in reality he also assists Captain Black, leader of the covert police squad Section 13.",2000-09-09,8.2,843,No reviews
My Little Pony: Friendship Is Magic,"Journey to the enchanted land of Equestria, where unicorn Twilight Sparkle and her pals have adventures and learn valuable lessons about friendship.",2010-10-10,8.2,689,No reviews
¡Mucha Lucha!,"¡Mucha Lucha! is an American-Canadian animated television series created by Eddie Mort and Lili Chin. The show is set in a town centered around lucha libre and follows the adventures of three children, Rikochet, The Flea and Buena Girl, as they struggle through the Foremost World-Renowned International School of Lucha, where they study.",2002-08-17,8.2,392,No reviews
R. L. Stine's The Haunting Hour,"R. L. Stine's The Haunting Hour is a Canadian/American original anthology horror-fantasy series, with episodes each half an hour long. The series is based on The Haunting Hour: Don't Think About It Movie, and the books The Haunting Hour and Nightmare Hour anthology by R. L. Stine.",2010-10-29,8.2,213,No reviews
Agatha Christie's Poirot,"From England to Egypt, accompanied by his elegant and trustworthy sidekicks, the intelligent yet eccentrically-refined Belgian detective Hercule Poirot pits his wits against a collection of first class deceptions.",1989-01-08,8.2,514,"Thank you LWT (London Weekend Television) and (eventually) ITV Studios for offering this magnificent television expédition! Poirot, brilliantly portrayed by Sir David Suchet is one of the best television shows in the world, ever! Even Agatha Christie's books are not as good as the writing in this sh"
Pacific Rim: The Black,Two siblings - an idealistic teenage boy and his naïve younger sister - are forced to pilot an abandoned Jaeger across a hostile landscape in a desperate attempt to find their missing parents.,2021-03-04,8.2,436,No reviews
Freaks and Geeks,"High school mathlete Lindsay Weir rebels and begins hanging out with a crowd of burnouts (the ""freaks""), while her brother Sam Weir navigates a different part of the social universe with his nerdy friends (the ""geeks"").",1999-09-25,8.2,812,"Great ensemble cast and stories that captured high school life for the outcasts.  Though the setting was supposed to be 1980-ish, the writing never quiet pulls that off.  Believe it or not, something set in 1980 should feel more like the 1970's rather than stereotypical 80's.  However, in the case o"
Father Ted,"A crazy comedy about three rather strange parish priests exiled to Craggy Island, a remote island off the Irish west coast.",1995-04-21,8.2,322,No reviews
All American,"When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds - Compton and Beverly Hills - begin to collide. Inspired by the life of pro football player Spencer Paysinger.",2018-10-10,8.2,471,This is no doubt one of the best shows of the fall it has drama heart even a little bit of humor if there is anything to complain about in this show I sure the hell can't find it it's no doubt one of the best shows not only this fall but this year I say hands down see it see it see it so much fun an
Ben 10,"When 10-year-old Ben Tennyson discovers a mysterious device, he gains the power to change into ten different alien heroes, each with uniquely awesome powers. With such abilities at his disposal, Ben realizes a greater responsibility to help others and stop evildoers, but that doesn't mean he's above a little superpowered mischief now and then.",2005-12-27,8.165,1720,No reviews
The IT Crowd,"The comedic misadventures of Roy, Moss, and their grifting supervisor Jen, a 'motley crew' of IT support workers at a large corporation headed by a hotheaded yuppie.",2006-02-03,8.2,1476,"This, along with stuff like Inbetweeners, Black Books, Friday Night Dinner etc, is an example of where Brits go a little overboard in rating their humor too highly. Plus, Americans hear a British accent and think it must ""British humor"". There's nothing British about the humor in this show. It's sta"
The Handmaid's Tale,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",2017-04-26,8.164,3019,"****From June to Offred: A 21st century slave tale!**

**SEASON 01:****

I was not sure to give it a try, in the end I just went on. The reason was, another dystopian theme. It was a short season with the 10 episodes, and I've got a mixed feeling. It was based on the 30 year old novel of the sam"
The Boarding School,"El Internado Laguna Negra was a Spanish television drama-thriller focusing on the students of a fictional boarding school in a forest, where teenagers are sent by their parents to study. The boarding school is situated in a forest far from the city, on the outskirts on which macabre events occur. The series debut on 24 May 2007, and is a production of Antena 3. Although the show is recorded and produced in HD, it is only broadcast in SD. However, an HD Blu-ray Disc release has been announced.",2007-05-24,8.2,606,No reviews
Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,2015-04-10,8.163,4845,"Daredevil was the first Marvel series to be made by Netflix.
But what makes this show stand out is while it **may** be part of the MCU it is the first Marvel show to have strong language and violence. 

It was superb and gritty and Charlie Cox was outstanding as Matt Murdock/Daredevil. And Vincen"
Gurren Lagann,"In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are 2 young men: one named Simon who is shy and naïve, and the other named Kamina who believes in the existence of a “surface” world above their heads.",2007-04-01,8.2,541,No reviews
The Summer I Turned Pretty,"Every summer, Belly and her family head to the Fishers’ beach house in Cousins. Every summer is the same ... until Belly turns sixteen. Relationships will be tested, painful truths will be revealed, and Belly will be forever changed. It’s a summer of first love, first heartbreak and growing up — it's the summer she turns pretty.",2022-06-16,8.164,936,Meh. Started ok but devolved into melodrama and incoherent cliche.
The Boondocks,"When Robert “Granddad” Freeman becomes legal guardian to his two grandsons, he moves from the tough south side of Chicago to the upscale neighborhood of Woodcrest (a.k.a. ""The Boondocks"") so he can enjoy his golden years in safety and comfort. But with Huey, a 10-year-old leftist revolutionary, and his eight-year-old misfit brother, Riley, suburbia is about to be shaken up.",2005-11-06,8.2,388,No reviews
Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011-01-09,8.2,3002,"An alcoholic man lives in a perpetual stupor while his six children cope as best they can.
Creators: John Wells, Paul Abbott
Stars: Emmy Rossum, William H. Macy, Ethan Cutkosky  and others. 

My personal opinion:
I liked this show so much. I liked that all the truth and the situations that can "
Are You Afraid of the Dark?,"This spooky anthology series for kids recounts ghost stories told by the young members of the Midnight Society as they gather around a campfire. Each episode opens with members of the Midnight Society at their secret spot in the woods, where they prepare their fire and the night's storyteller announces the title of the his or her offering. However, the cameras soon leave the storyteller and switch to the tale being told.",1992-08-15,8.2,592,"There were a lot of great kids show that came on in the 90s and a lot of them were on Nickelodeon. In my opinion Are You Afraid of the Dark was one of the all-time greatest shows ever for kids because it had great story telling, great prodution value that still hilds up today. The stories that were "
Kakegurui,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",2017-07-01,8.2,1520,No reviews
Mieruko-chan,"She can see dead people…she just chooses to ignore them. That’s Miko’s plan, anyway, with horrifying (and sometimes hilarious) results.",2021-10-03,8.2,336,No reviews
SilverHawks,Bionic policemen fight an escaped alien mob boss and his gang in space.,1986-09-08,8.2,323,"I just bonded with a co-worker about this. I guess I'm the only person his age that he found that actually remembers the cartoon... which we both had fond and exceedingly vague memories of.

We remember how cool it actually looked. Everything was sleek and stylistic and shiny against the contrast "
The Bear,"Carmy, a young fine-dining chef, comes home to Chicago to run his family sandwich shop. As he fights to transform the shop and himself, he works alongside a rough-around-the-edges crew that ultimately reveal themselves as his chosen family.",2022-06-23,8.157,1466,first episode in and i'm already hooked! most of my experience of watching this is just me forgetting to breathe for long periods of time. definitely recommend!
Formula 1: Drive to Survive,"Drivers, managers and team owners live life in the fast lane - both on and off the track - during one cutthroat season of Formula 1 racing.",2019-03-08,8.2,557,No reviews
Alice in Borderland,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to win.",2020-12-10,8.156,2326,"I am 6 episodes into season 1 and the only thing this show has going for it is the ludicrous mini-games and the good-looking cast. The plot is nonsense and the dialog is a cringe-fest.

On the bright side, I can see Tao Tsuchiya as Faith Connors in a Mirror's Edge™ series, but she needs a better p"
Kill la Kill,"Honnouji Academy is forcefully ruled by the iron-fisted control of its student council and its president, Satsuki Kiryuin. Transfer student, Ryuko Matoi, arrives on campus carrying a giant sword, that is actually half of a scissor. She is looking for the woman who holds the other half of her sword who killed her father. It is said that Satsuki Kiryuin knows the identity of the killer but when Ryuko confronts her she is beaten by the student council and their powerful ""Goku Uniforms"" whom she cannot match in strength. However, once Ryuko receives her own ""Kamui"" by the name of Senketsu, the odds are lifted in her favor.",2013-10-04,8.2,498,No reviews
The Storyteller,"The Storyteller aided by his cynical dog, narrates classic folk tales, fables, and legends.",1988-05-15,8.2,228,No reviews
Sintonia,"Told through three different characters' perspectives, the story of Sintonia explores the interconnection of the music, drug traffic, and religion in São Paulo. In the quest to be somebody, many paths will converge.",2019-08-09,8.153,219,No reviews
Mr. Pickles,"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.",2014-09-21,8.2,825,No reviews
Hometown Cha-Cha-Cha,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021-08-28,8.2,591,"Initially, the drama was captivating with its picturesque setting, charming characters, vibrant village life, and delightful slice-of-life moments. The dynamic between the village people created a lively and heartwarming atmosphere. Each character brought something unique to the table with lots pote"
The Eminence in Shadow,"Shadowbrokers are those who go unnoticed, posing as unremarkable people, when in truth, they control everything from behind the scenes. Sid wants to be someone just like that more than anything, and something as insignificant as boring reality isn’t going to get in his way! He trains in secret every single night, preparing for his eventual rise to power—only to be denied his destiny by a run-of-the-mill (yet deadly) traffic accident. But when he wakes up in a another world and suddenly finds himself at the head of an actual secret organization doing battle with evil in the shadows, he’ll finally get a chance to act out all of his delusional fantasies!",2022-10-05,8.2,208,"Have you ever dreamt of becoming a secret powerhouse, saving the day while appearing totally ordinary? Well, **Eminence in Shadow** turns that childhood fantasy into an epic comedy!

Imagine a guy who pretends to be super powerful in his head, even though he's just a regular dude. This show, **Emi"
ONE PIECE,"With his straw hat and ragtag crew, young pirate Monkey D. Luffy goes on an epic voyage for treasure.",2023-08-31,8.152,1383,"An Absolute Trainwreck: One Piece (Live Action) Deserves to Sink to the Bottom of the Ocean

I cannot express just how much of a colossal failure the live-action adaptation of ""One Piece"" is. It's as if the creators set out to destroy everything that made the original series a beloved masterpiece."
Coffee Prince,"Han Kyul gives his family's café a new spin, hiring only good-looking men to work there -- plus an androgynous-looking girl he mistakes for a man.",2007-07-02,8.2,263,No reviews
Senna,"Fascinated by cars since childhood, Brazilian racer Ayrton Senna became a sports legend — until tragedy struck, changing Formula 1 forever.",2024-11-29,8.1,211,"Senna (2010), directed by Asif Kapadia, is an extraordinary documentary that provides a breathtaking look at the life and tragic death of one of the most influential and charismatic figures in the world of motorsport, Ayrton Senna. Through compelling archive footage, race highlights, and poignant na"
Extracurricular,"Determined to escape a dead-end life, a gifted high school student turns to a world of serious crime to ensure he can pay for college.",2020-04-29,8.1,663,No reviews
Sailor Moon Crystal,Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.,2014-07-05,8.1,649,No reviews
Batman Beyond,"As new villains overrun Gotham City of the future, the aging Bruce Wayne hangs up the cape of the once invincible Batman. But when troubled teenager Terry McGinnis stumbles upon the Dark Knight's secret, a new alliance is forged. And a triumphant new Batman is born.",1999-01-10,8.1,575,No reviews
The Shield,The story of an inner-city Los Angeles police precinct where some of the cops aren't above breaking the rules or working against their associates to both keep the streets safe and their self-interests intact.,2002-03-12,8.1,794,No reviews
Doctors,"A recalcitrant, delinquent teen girl meets a compassionate teacher, who inspires her to alter her path and become a street-savvy neurosurgeon.",2016-06-20,8.1,317,No reviews
Chobits,"Tokyo is abuzz with persocoms – humanoid computers that are virtually perfect. The socially and technologically inept Hideki is dying to get his hands on one. When he finds Chii abandoned in the trash, she’s cuter than any current model he’s ever seen before. But when he gets her home and turns her on, she has no data and only a single learning program installed. While Hideki puts his whole heart into teaching Chii the ins and outs of humanity, a mystery unfolds as a dark secret within her awakens.",2002-04-02,8.1,221,No reviews
Run Coyote Run,,2017-05-08,8.1,313,No reviews
High School of the Dead,"The lockers are splattered with blood, the student bodies are piling up and that's not mystery meat they're eating in the cafeteria… it's the faculty! And that's just the start of the worst day of school ever when a nightmarish virus is unleashed, turning humans into flesh eating zombies and converting Fujimi High School into a literal hell on Earth. Now it's a crash course in survival, and the only test or skill that matters is the ability to keep moving, breathing and fighting. Because if nerds, jocks and the surviving staff can't find a way to work together to escape this carnal house of education, they're all going to end up on the menu. And that's assuming there's anyplace safe left to escape to.",2010-07-05,8.1,881,No reviews
Vecinos,"The everyday life of people in Mexican neighborhoods, where anything can be found. Each episode interacts between these peculiar neighbors, where they encounter real and fictitious problems.",2005-07-10,8.1,1082,No reviews
