title,overview,release_date,rating,vote_count,review
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",1973-12-16,7.829,1999,"Grim and authentic telling of Henri ""Papillon"" Charrière's time at Devil's Island. 

Directed by Franklin J. Schaffner (Planet Of The Apes/Patton), Papillon is adapted for the screen by Dalton Trumbo & Lorenzo Semple Jr. from notorious French felon Henri ""Papillon"" Charrière's own novel. It stars "
La luna,"A young boy comes of age in the most peculiar of circumstances. Tonight is the very first time his Papa and Grandpa are taking him to work. In an old wooden boat they row far out to sea, and with no land in sight, they stop and wait. A big surprise awaits the boy as he discovers his family's most unusual line of work. Should he follow the example of his Papa, or his Grandpa? Will he be able to find his own way in the midst of their conflicting opinions and timeworn traditions?",2012-02-10,7.8,814,"A young lad sets off early one morning with his father and grandfather in their fishing boat for his first ever day at work. Amidst a calm sea, they stop and soon the lad is sent up into the heavens - with the anchor. Where to? Well it's soon clear that, armed with their brooms, their job is to swee"
The Breadwinner,"A headstrong young girl in Afghanistan, ruled by the Taliban, disguises herself as a boy in order to provide for her family.",2017-11-17,7.8,874,"Another super flick from Cartoon Saloon!

After watching and enjoying the Irish Folklore Trilogy from the studio, I simply had to check out their one other film to date: <em>'The Breadwinner'</em>. I actually think that's kind of a boring title to be honest, but thankfully the film is anything but"
Ivan's Childhood,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",1962-05-09,7.8,777,"<i>Ivan’s Childhood</i>, released in 1962, was Soviet director's Andrei Tarkovsky first feature film. An adaptation of a short story by Vladimir Bogomolov set in World War&nbsp;II, its protagonist is a 12-year-old orphan (Nikolai Burlyaev) on the Eastern Front whose small size allows him to scout Ge"
To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942-03-06,7.8,778,No reviews
Rosemary's Baby,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.",1968-06-12,7.8,4126,"I've never found Mia Farrow to be a very versatile actor, but she certainly delivers the best performance of her career in this gripping story of Satanic manipulation. ""Rosemary"" is married to ""Guy"" (John Cassavetes) and they live in one of those lovely great buildings that overlook New York's Centr"
Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",2021-03-03,7.8,7029,"In a magical land known as Kumandra; Humans and Dragons co-exist in harmony. When a threat in the form of creatures known as Druun arrive and threaten to destroy everything; the Dragons combine their power to defeat them but in doing so all but one of the Dragons remains.

In the new Disney animat"
The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",2008-05-07,7.8,7400,"Not convinced this is a greatly made movie, but it sure does pack a punch!

<em>'The Boy in the Striped Pyjamas'</em> makes for good viewing for the majority, though that ending really is quite something - startling in fact, and that's even with me sensing it. The aforementioned is because, as wel"
Charm City Kings,"Mouse desperately wants to join The Midnight Clique, the infamous Baltimore dirt bike riders who rule the summertime streets. When Midnight’s leader, Blax, takes 14-year-old Mouse under his wing, Mouse soon finds himself torn between the straight-and-narrow and a road filled with fast money and violence.",2020-01-27,7.823,487,"Charm City Kings evokes such films as Boyz n’ the Hood, A Bronx Tale, and Torque. I know; one of those things isn’t like the others. The filmmakers, however, put the motorcycle fetish to good use, infusing it with imagery that’s almost religious in order to reveal its real-world impracticality.

M"
Forgotten Love,A once-respected surgeon who's lost his family and his memory gets a chance at redemption when he reconnects with someone from his forgotten past.,2023-09-26,7.822,321,"I won't spoil and I will keep this review very short. It's really very good and interesting and I personally think that this movie is a masterpiece. Definitely worth to watch it. You won't regret, I assure you."
Us Again,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",2021-03-03,7.8,336,No reviews
Mishima: A Life in Four Chapters,"A fictional account of the life of Japanese author Yukio Mishima, combining dramatizations of three of his novels and a depiction of the events of November 25th, 1970.",1985-09-20,7.8,312,No reviews
It Happened One Night,A runaway heiress makes a deal with the rogue reporter trailing her but the mismatched pair end up stuck with each other when their bus leaves them behind.,1934-02-22,7.8,1319,A classical comedy which would be setting some standards with great performance from Clark Gable.
Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2017-02-28,7.819,19823,"**LOGAN REVIEW: THE WOLVERINE GETS A SUPER SEND-OFF**

""Owing to its agitated hero’s misfortunes through the ages, this is a film that’s acutely aware of the dangers of emotional exploitation, and it spares its audience a similar fate. With Logan, Mangold and co-writer Scott Frank tell the definit"
The Working Class Goes to Heaven,"After losing a finger in a work accident, an Italian worker becomes increasingly involved in political and revolutionary groups.",1971-09-17,7.8,360,No reviews
Paprika,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika.",2006-10-01,7.819,2647,"Paprika sprinkles its spicy originality across a sprawling vibrant fever dream. Dreams are windows to the imaginative capacity of the subconscious. Manipulating memories to fabricate worlds unbounded by the physical laws of reality. An endless wave of colours and possibilities, requiring no legitima"
"Love, Rosie","Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",2014-10-16,7.8,6356,"> You can't respect the friendship by denying the facts.

Definitely a modern love story. The movie covers the story of the title character, Rosie's 12 years of life. From the night when she celebrates her 18th birthday till becomes the 30 year old mother. It's a long journey in the real life, and"
The Phantom Carriage,"An alcoholic, abusive ne'er-do-well is shown the error of his ways through a legend that dooms the last person to die on New Year's Eve before the clock strikes twelve to take the reins of Death's chariot and work tirelessly collecting fresh souls for the next year.",1921-01-01,7.8,336,No reviews
The Bridge on the River Kwai,"The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",1957-10-11,7.8,2225,"Colonel Bogey's Barmy Army.

OK! Lets get it out there right away, for historical facts of the real Bridge on the River Kwai story, one should research elsewhere, this film is a fictionalised account of the said events. Sadly there are those out there who simply refuse to judge this purely as a pi"
Snatch,"Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.",2000-09-01,7.817,9466,"In the quiet words of the Virgin Mary... come again?

Snatch seems to be one of those spunky British gangster films that critics are divided on, yet it's loved by the target audience. Guy Ritchie has done a Sam Raimi, he has remade the first film that put him on the cinematic map. Where Raimi rema"
Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",2003-05-30,7.817,19897,"One of the best animated films I have ever seen. Great characters, amusing animation, and laugh-out-loud humor. Also, watch for the little skit shown after the credits. It's all great stuff that simply must be seen."
F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,2025-06-25,7.817,2003,"Entertaining sports drama featuring great racing sequences from director Joseph Kosinski, thrilling score by Hans Zimmer and fine performances by Brad Pitt and Javier Bardem. Not a fan of racing in general but this one was pretty solid. **4.0/5**"
World of Tomorrow,A little girl is taken on a mind-bending tour of her distant future.,2015-01-22,7.8,343,No reviews
The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",1940-03-15,7.8,1040,"Master piece from John Ford picturing the situation in US during the Great Depression and how an Oklahoma family tries to survive looking for jobs to California.

Everything is perfect: director, performances, script, etc.

A must to be watched."
Midnight Sun,"Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.",2018-03-22,7.8,3494,I just wanna say from the moment I seen how sad she was I cried and yes I did cry but I just wanna say even though she wasn't suppose to go outside she did it anyways and at first I was a little confused because I was like this is just like everything everything so what is the point of watching it b
A Moment to Remember,A young couple's love is tested when Sun-jin is diagnosed with a rare form of Alzheimer's disease.,2004-11-05,7.8,337,No reviews
Fantastic Mr. Fox,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",2009-10-14,7.815,5771,"Fantastic, indeed.

<em>'Fantastic Mr. Fox'</em> is a terrific stop motion animated film, which is unmistakably a piece of Wes Anderson's work. I enjoyed the whole film undoubtedly, though the first half is much stronger than the second. The opening piece of stop motion didn't actually fill me wit"
Tod@s Caen,A pair of seducers try to prove who has the best techniques while trying not to fall in love with each other.,2019-08-30,7.8,479,No reviews
Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",2003-07-09,7.814,21420,"Ah, but you have heard of me.

The crew of the Black Pearl are cursed by something most unimaginable, the only way to lift the curse is to return a lost Aztec coin to its treasure chest home. In the way of them achieving their goal is the British Governor's daughter, the son of Bootstrap Turner, o"
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2015-11-06,7.813,8472,"> Uncovering the sins committed by whom the millions of people believe in.

A documentary film would show the real faces of those offenders to shame them. That's the reason I desperately wanted it to be a documentary, then I would have definitely given a maximum mark. There's no complaint about th"
Network,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.",1976-11-14,7.8,1875,"**The Primal Forces of Network**

According to the Writers Guild of America the greatest screenplay of all time belongs to _Casablanca_. A sentimental favourite, no doubt, worthy for a handful of catchy one-liners capped off with a convincing dump-the-dame speech. While Bogie plays himself, Bergma"
Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",1959-03-18,7.811,1203,"The good outweighs the bad in Hawks macho movie. 
 
Filmed by Howard Hawks as a response to what he saw as none macho cinema in Gary Cooper's acclaimed High Noon, Rio Bravo has moments of brilliance that are sadly coupled with failings that are not Hawksian peccadilloes. The macho plot is simple b"
"Spring, Summer, Fall, Winter... and Spring","An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",2003-09-19,7.812,1121,No reviews
Joint Security Area,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides.",2000-09-09,7.8,759,"A gripping tale about an unlikely ally in a personal, inner war.

A conflict and history that is much too complex for a feature film, but this makes a good attempt."
One Hundred Steps,"Peppino Impastato is a quick-witted lad growing up in 1970s Sicily. Despite hailing from a family with Mafia ties and living just one hundred steps from the house of local boss Tano Badalamenti, Peppino decides to expose the Mafia by using a pirate radio station to broadcast his political pronouncements in the form of ironic humour.",2000-09-01,7.81,703,This has quite a poignant underlying message of complicity and compliance as it tells the true story of firebrand young man Peppino Impastato (Luigi Lo Cascio). He lives on a mafia-dominated Sicily in a family led by his acquiescing father Luigi (Luigi Maria Burruano). It's not that his dad is cowar
Infernal Affairs,"Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.",2002-12-12,7.81,1745,"Solid Hong Kong action-thriller with good performances and fine direction. I do think The Departed did better with connecting the plot and character development (particularly between the undercover cop and psychiatrist). Also thought The Departed was more suspenseful. But that said, Infernal Affairs"
A Bag of Marbles,"At the beginning of the 1940s, in a France occupied by Nazi forces, lived the Jewish Joffo family. Happy and tight-knit, she sees her future darken when all members of the family are forced to wear the yellow star. Fearing the worst, the parents organized their family to flee to the free zone in the south of the country. Maurice, twelve years old, and Joseph, ten years old, will therefore leave alone in order to maximize their chances of finding their older brothers already settled in Nice.  The brothers left to their own devices demonstrate an incredible amount of cleverness, courage, and ingenuity to escape the enemy invasion and to try to reunite their family once again.",2017-01-18,7.8,877,No reviews
The Best Offer,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core.",2013-01-01,7.809,2936,"**Are ready to change yourself when you think you found your match!**

Written and directed by one of the famous Italian filmmaker, Giuseppe Tornatore. An English language film, Geoffrey Rush in the lead. It was about an aging art and antique auctioneer, Virgil. The story reveals his final days in"
1900,"The epic tale of a class struggle in twentieth century Italy, as seen through the eyes of two childhood friends on opposing sides.",1976-08-28,7.8,657,No reviews
Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",2001-06-06,7.808,6645,"**Today, I finally understood this movie… and I was amazed by it.**

I think what happened to me was exactly the same as what happened to most people: when I saw this movie for the first time, years ago, I didn't understand a thing. That went on for a long time: whenever I saw this film, I ended u"
The Man Who Shot Liberty Valance,"Questions arise when Senator Stoddard attends the funeral of a local man named Tom Doniphon in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance. As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance.",1962-04-13,7.8,1215,No reviews
Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",2004-06-16,7.8,3562,No reviews
The Wrong Trousers,"Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal.  Preserved by the Academy Film Archive.",1993-12-17,7.806,1089,"Times are hard for ""Wallace"" and his engineering-minded dog ""Gromit"" so they take in a lodger. He's a penguin who settles in nicely over a bottle of red with ""Wallace"" but to whom ""Gromit"" takes an instant dislike. Indeed, their new guest knocks his nose so far out of joint that he packs his belongi"
Mr. Nobody,"Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092.",2009-11-06,7.805,5999,"Quite a disappointment. I was expecting much more from this movie but the story is just boring and uninteresting. Jared Leto makes a good performance (the movie is just tailored for him) and they are also good Kruger and, specially, Regbo and Temple.

However, as I said, the story is quite pointle"
Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975-04-03,7.805,6077,"**One of the pinnacles of British humor.**

This was my first contact with Monty Python, which I already knew famously, and I loved the movie. It is quite simply one of the high points of British humor. The film is easy enough to understand, parodying the Arthurian legends surrounding the quest fo"
Fail Safe,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.,1964-10-07,7.8,430,No reviews
My Life as a Zucchini,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own.",2016-09-22,7.804,1427,"**Seeking a second chance for the normal life.**

Whenever I review a Stop-motion animated film, I always start with by saying it is a dying art form that needs a bigger lift from us. It gave a new life for filmmaking when there were no technology like computers hundred years ago for the creation "
The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,2022-12-09,7.8,4285,"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/the-whale-spoiler-free-review-lff-2022

""The Whale earns its place in the ""most tearful films of the year"" list as it moves slowly yet efficiently towards its overwhelmingly emotional ending, especially elevated by the most subtly"
Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,7.801,15158,Great for the kids!
L.A. Confidential,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,1997-09-19,7.801,5220,"City of Angels? More Like City of Demons! 

Curtis Hanson directs and co-adapts the screenplay with Brian Helgeland from legendary pulp novelist James Ellroy's novel. It stars Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, Danny DeVito and David Strathairn. Music is by Jerr"
Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",2005-11-16,7.801,21422,"Do not do so lightly! If chosen, there's no turning back. As from this moment, The Triwizard Tournament has begun!

Year four at Hogwarts for Harry Potter and his chums, and it's a time of change, chance and danger. The prestigious Triwizard Tournament is being hosted and the applecart is turned u"
Die Hard,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her offices Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",1988-07-15,7.801,11667,"**This is one of the definitive 80s Action Films.**

There is no nonsense whatsoever, the plot moves along with such a pace that the viewer is not disturbed by implausabilities.

Bruce Willis plays the likeable ""regular guy"", who is forced bare-foot into unleashing mayhem and destruction, to per"
Land of Mine,"In the days following the surrender of Germany in May 1945, a group of young German prisoners of war is handed over to the Danish authorities and subsequently sent to the West Coast, where they are ordered to remove the more than two million mines that the Germans had placed in the sand along the coast. With their bare hands, crawling around in the sand, the boys are forced to perform the dangerous work under the leadership of a Danish sergeant.",2015-12-03,7.8,1415,"> Teen POWs in the post WWII Denmark.

A Danish war-drama that was inspired by the historical account, but all the characters were fictional. Remember this title for another six month, because I am confident this film will make a journey to the west coast of the USA to compete at the 89th Academy "
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012-04-25,7.801,32983,"With a movie like this you wonder how all of the otherwise, main characters will work together and support the story.

No problems here.  While as might be expected, R. Downey Jr. comes across largely central, it is still a good mix and IMHO the best scenes in the movie involve the generated Hulk "
Porco Rosso,"In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",1992-07-18,7.8,3495,"On the face of it, this is just another sublimely drawn Ghibli effort about a cursed creature - this time a pig - that flies a seaplane around the islands of 1930s Italy chasing air-pirates. Once you get in to it, though, it develops into a really cleverly woven story that offers us layers of charac"
The Perks of Being a Wallflower,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",2012-09-20,7.8,10789,"Really complex and sweet movie with a great story, script and performances from Lerman, Watson and Miller.

Also, great directing and cut. A really good movie for a rainy day."
Gifted Hands: The Ben Carson Story,Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,2009-02-07,7.8,743,No reviews
Nostalgia,"A Russian poet, Andrei and his interpreter, Eugenia travel to Italy to research the life of an 18th-century composer.",1983-06-02,7.8,571,No reviews
Io Capitano,"Longing for a brighter future, two Senegalese teenagers embark on a journey from West Africa to Italy. However, between their dreams and reality lies a labyrinth of checkpoints, the Sahara Desert, and the vast waters of the Mediterranean.",2023-09-07,7.8,766,"Movies about the flood of new immigrants into Europe from Africa and the Middle East have been growing in number in recent years. Depictions of the many hardships these individuals face (sometimes graphic and disturbing in nature) have been making their way into the cinematic community, showing exac"
Whiplash,"A ferocious, bullying music teacher teaches a dedicated student.",2013-01-18,7.798,382,No reviews
A Movie of Eggs,"A small egg named Toto decides that he wants to fulfill his purpose in life and become a chicken instead of dying in a frying pan; so he starts a quest to return to the farms along with his new friend, the noisy egg Willy and a crazy bacon stripe. The three friends will face lot of obstacles in their quest.",2006-04-21,7.798,309,No reviews
I Saw the Devil,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.",2010-08-12,7.797,2787,"Brutal South Korean film about a serial rapist/killer (Min-sik Choi, Oldboy) who picks on the wrong girl when he kills and chops up the pregnant fiancee of a government secret agent (Byung-hun Lee, A Bittersweet Life, The Good, The Bad, The Weird) who proceeds to track him down, beat him to a pulp, "
Into the Wild,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",2007-09-21,7.8,9788,No reviews
All My Life,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",2020-10-23,7.8,500,No reviews
The Diamond Arm,"A diamond smuggling operation goes wrong when an ordinary Soviet citizen becomes unwittingly involved, and the criminals are forced to court him to retrieve their diamonds.",1969-05-23,7.8,302,No reviews
The Specials,"For twenty years, Bruno and Malik have lived in a different world—the world of autistic children and teens. In charge of two separate nonprofit organizations (The Hatch & The Shelter), they train young people from underprivileged areas to be caregivers for extreme cases that have been refused by all other institutions. It’s an exceptional partnership, outside of traditional settings, for some quite extraordinary characters.",2019-10-23,7.8,952,No reviews
Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,2021-06-17,7.8,8658,"The artists at Disney and Pixar have returned with a new animated film “Luca” which will debut on Disney+ on June 18th.

The film introduces audiences to Luca (Jacob Tremblay); a young Sea Monster who lives with his family and fellow fish off the coast of a small town in Italy. Luca is warned not "
Solaris,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.,1972-03-20,7.8,1702,"Acclaimed psychologist ""Kelvin"" (Donates Banionis) is despatched to a space station to investigate the mysterious death of one of the three remaining scientists who are working on the surface of a remote moon. Upon arrival he discovers that there are now just the two of the original eighty-plus crew"
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932-01-01,7.8,1236,"This is for the misfits the freaks and the runts.

Tod Browning's Freaks is as infamous today as it was back in the 30s when it shook film watchers to the core. Of course time has diluted some of its impact, you can imagine that a modern day horror fan drooling over torture porn et al being comple"
Forbidden Games,"Orphaned after a Nazi air raid, Paulette, a young Parisian girl, runs into Michel, an older peasant boy, and the two quickly become close. Together, they try to make sense of the chaotic and crumbling world around them, attempting to cope with death as they create a burial ground for Paulette's deceased pet dog. Eventually, however, Paulette's stay with Michel's family is threatened by the harsh realities of wartime.",1952-05-09,7.8,328,No reviews
The Twilight Samurai,"Seibei Iguchi leads a difficult life as a low ranking samurai at the turn of the nineteenth century. A widower with a meager income, Seibei struggles to take care of his two daughters and senile mother. New prospects seem to open up when the beautiful Tomoe, a childhood friend, comes back into he and his daughters' life, but as the Japanese feudal system unravels, Seibei is still bound by the code of honor of the samurai and by his own sense of social precedence. How can he find a way to do what is best for those he loves?",2002-11-02,7.8,332,No reviews
Close,"Two 13-year-old boys spend an idyllic summer together, but their connection is put to the test when they become the subject of speculation at school.",2022-11-01,7.791,906,"Thirteen year old ""Léo"" (Eden Dambrine) and his schoolfriend ""Rémi"" (Gustav De Waele) are inseparable. The play together, eat together, sleep together - an ideal fraternal relationship. At school, though, their classmates start to make disparaging remarks about them, and the naturally more gregariou"
The Wind Rises,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",2013-07-20,7.792,3176,No reviews
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Four talented alien musicians are kidnapped by a record producer who disguises them as humans. Shep, a space pilot in love with bass player Stella, follows them to Earth. Reprogrammed to forget their real identities and renamed The Crescendolls, the group quickly becomes a huge success playing soulless corporate pop. At a concert, Shep manages to free all the musicians except Stella, and the band sets out to rediscover who they really are — and to rescue Stella.",2003-05-28,7.8,493,No reviews
Rocky,"Rocky Balboa is a Philadelphia club fighter who seems to be going nowhere. But when a stroke of fate puts him in the ring with a world heavyweight champion, Rocky knows that it's his one shot at the big time — a once-in-a-lifetime opportunity to go the distance and come out a winner!",1976-11-20,7.79,8224,"This was the ultimate Rocky story wasn't it?

It was inspiring with the training, it was inspiring with the fight, and it was about the characters and the characters are what makes a great story.

The down side was Creed, he was a little under-developed in this wasn't he? They make up for it in "
Letter from an Unknown Woman,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",1948-04-28,7.8,321,"Beautiful Tragedy.

Letter from an Unknown Woman is directed by Max Ophuls, who also co-adapts the screenplay with Howard Koch from the novella written by Stefan Zweig. It stars Joan Fontaine, Louis Jordan, Mady Christians, Art Smith and Howard Freeman. Music is by Daniele Amfitheatrof and cinemat"
The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946-12-25,7.8,693,"Another great Willy Wyler movie.

The story, with time, is quite expectable but the characters are well defined and developed by the cast.

Also, it is a good (and probably, too positive) review of the after WWII war lives of the US veterans.

A must to be seen."
